image_id,xtl,ytl,xbr,ybr,target
nat_VG09_9.obj_002_113,212,453,191,413,1
nat_VG09_9.obj_002_114,211,449,179,392,1
nat_VG09_9.obj_002_115,210,445,168,370,1
nat_VG09_9.obj_002_116,210,441,160,346,1
nat_VG09_9.obj_002_117,209,437,150,325,1
nat_VG09_9.obj_002_118,209,433,141,307,1
nat_VG09_9.obj_002_119,210,429,134,301,1
nat_VG09_9.obj_002_120,204,430,263,508,1
nat_VG09_9.obj_002_121,203,431,258,514,1
nat_VG09_9.obj_002_122,201,432,253,518,1
nat_VG09_9.obj_002_123,200,433,249,520,1
nat_VG09_9.obj_002_124,198,433,242,519,1
nat_VG09_9.obj_002_125,196,434,236,515,1
nat_VG09_9.obj_002_126,195,433,230,507,1
nat_VG09_9.obj_002_127,193,433,225,496,1
nat_VG09_9.obj_002_128,191,432,221,481,1
nat_VG09_9.obj_002_129,188,431,219,461,1
nat_VG09_9.obj_002_130,186,429,217,445,1
nat_VG09_9.obj_002_131,183,428,213,434,1
nat_VG09_9.obj_002_132,181,426,207,421,1
nat_VG09_9.obj_002_133,179,424,192,405,1
nat_VG09_9.obj_002_134,177,422,173,387,1
nat_VG09_9.obj_002_135,175,420,158,368,1
nat_VG09_9.obj_002_136,174,418,145,346,1
nat_VG09_9.obj_002_137,173,416,134,328,1
nat_VG09_9.obj_002_138,172,414,121,313,1
nat_VG09_9.obj_002_139,172,412,112,300,1
nat_VG09_9.obj_002_140,182,408,255,504,1
nat_VG09_9.obj_002_141,180,409,250,506,1
nat_VG09_9.obj_002_142,178,411,246,507,1
nat_VG09_9.obj_002_143,176,413,243,505,1
nat_VG09_9.obj_002_144,174,414,240,500,1
nat_VG09_9.obj_002_145,171,415,238,493,1
nat_VG09_9.obj_002_146,169,415,237,486,1
nat_VG09_9.obj_002_147,166,415,233,474,1
nat_VG09_9.obj_002_148,164,415,230,460,1
nat_VG09_9.obj_002_149,161,415,228,442,1
nat_VG09_9.obj_002_150,159,414,224,421,1
nat_VG09_9.obj_002_151,156,413,221,413,1
nat_VG09_9.obj_002_152,153,411,211,403,1
nat_VG09_9.obj_002_153,151,410,192,392,1
nat_VG09_9.obj_002_154,149,408,169,378,1
nat_VG09_9.obj_002_155,148,406,150,363,1
nat_VG09_9.obj_002_156,147,404,135,347,1
nat_VG09_9.obj_002_157,146,401,122,334,1
nat_VG09_9.obj_002_158,145,399,113,323,1
nat_VG09_9.obj_002_159,144,397,104,312,1
nat_VG09_9.obj_002_160,154,386,252,495,1
nat_VG09_9.obj_002_161,150,388,247,490,1
nat_VG09_9.obj_002_162,146,389,243,481,1
nat_VG09_9.obj_002_163,143,389,240,475,1
nat_VG09_9.obj_002_164,139,390,237,469,1
nat_VG09_9.obj_002_165,135,390,235,460,1
nat_VG09_9.obj_002_166,131,390,234,448,1
nat_VG09_9.obj_002_167,127,390,234,433,1
nat_VG09_9.obj_002_168,123,389,234,421,1
nat_VG09_9.obj_002_169,119,389,231,407,1
nat_VG09_9.obj_002_170,115,388,229,392,1
nat_VG09_9.obj_002_171,112,386,227,387,1
nat_VG09_9.obj_002_172,110,385,214,382,1
nat_VG09_9.obj_002_173,109,384,192,375,1
nat_VG09_9.obj_002_174,108,382,169,367,1
nat_VG09_9.obj_002_175,107,381,149,357,1
nat_VG09_9.obj_002_176,107,379,132,347,1
nat_VG09_9.obj_002_177,107,377,119,340,1
nat_VG09_9.obj_002_178,108,376,110,335,1
nat_VG09_9.obj_002_179,110,374,103,329,1
nat_VG09_9.obj_002_180,119,361,242,479,1
nat_VG09_9.obj_002_181,115,362,241,470,1
nat_VG09_9.obj_002_182,112,363,240,458,1
nat_VG09_9.obj_002_183,108,364,240,443,1
nat_VG09_9.obj_002_184,104,364,239,424,1
nat_VG09_9.obj_002_185,100,365,237,413,1
nat_VG09_9.obj_002_186,96,365,236,403,1
nat_VG09_9.obj_002_187,93,365,235,393,1
nat_VG09_9.obj_002_188,89,365,235,387,1
nat_VG09_9.obj_002_189,87,365,235,379,1
nat_VG09_9.obj_002_190,84,364,232,371,1
nat_VG09_9.obj_002_191,82,363,230,361,1
nat_VG09_9.obj_002_192,81,362,214,359,1
nat_VG09_9.obj_002_193,80,361,192,358,1
nat_VG09_9.obj_002_194,80,360,171,355,1
nat_VG09_9.obj_002_195,81,359,153,352,1
nat_VG09_9.obj_002_196,82,358,138,348,1
nat_VG09_9.obj_002_197,83,356,127,346,1
nat_VG09_9.obj_002_198,85,355,118,345,1
nat_VG09_9.obj_002_199,88,354,113,345,1
nat_VG09_9.obj_002_200,96,341,231,448,1
nat_VG09_9.obj_002_201,94,342,235,437,1
nat_VG09_9.obj_002_202,92,342,236,424,1
nat_VG09_9.obj_002_203,90,342,236,414,1
nat_VG09_9.obj_002_204,89,343,237,401,1
nat_VG09_9.obj_002_205,87,343,238,387,1
nat_VG09_9.obj_002_206,86,343,240,376,1
nat_VG09_9.obj_002_207,85,343,239,370,1
nat_VG09_9.obj_002_208,84,342,239,363,1
nat_VG09_9.obj_002_209,83,342,239,358,1
nat_VG09_9.obj_002_210,82,342,236,352,1
nat_VG09_9.obj_002_211,82,341,230,345,1
nat_VG09_9.obj_002_212,82,340,210,340,1
nat_VG09_9.obj_002_213,82,340,192,342,1
nat_VG09_9.obj_002_214,82,339,175,345,1
nat_VG09_9.obj_002_215,83,339,162,347,1
nat_VG09_9.obj_002_216,83,338,151,349,1
nat_VG09_9.obj_002_217,84,337,143,351,1
nat_VG09_9.obj_002_218,85,336,137,355,1
nat_VG09_9.obj_002_219,87,336,134,359,1
nat_VG09_9.obj_002_220,91,336,204,430,1
nat_VG09_9.obj_002_221,90,336,209,422,1
nat_VG09_9.obj_002_222,90,336,214,412,1
nat_VG09_9.obj_002_223,89,336,221,402,1
nat_VG09_9.obj_002_224,89,335,227,389,1
nat_VG09_9.obj_002_225,89,335,234,375,1
nat_VG09_9.obj_002_226,90,335,242,360,1
nat_VG09_9.obj_002_227,90,334,244,343,1
nat_VG09_9.obj_002_228,91,334,244,338,1
nat_VG09_9.obj_002_229,92,333,244,333,1
nat_VG09_9.obj_002_230,93,333,232,331,1
nat_VG09_9.obj_002_231,94,333,217,329,1
nat_VG09_9.obj_002_232,95,332,203,328,1
nat_VG09_9.obj_002_233,97,332,191,330,1
nat_VG09_9.obj_002_234,98,332,181,337,1
nat_VG09_9.obj_002_235,100,331,173,343,1
nat_VG09_9.obj_002_236,101,331,166,349,1
nat_VG09_9.obj_002_237,103,331,161,355,1
nat_VG09_9.obj_002_238,105,331,158,362,1
nat_VG09_9.obj_002_239,106,330,156,370,1
nat_VG09_9.obj_002_240,95,344,182,408,1
nat_VG09_9.obj_002_241,95,344,189,399,1
nat_VG09_9.obj_002_242,95,344,197,388,1
nat_VG09_9.obj_002_243,97,343,206,376,1
nat_VG09_9.obj_002_244,98,343,213,364,1
nat_VG09_9.obj_002_245,100,343,222,351,1
nat_VG09_9.obj_002_246,102,342,230,337,1
nat_VG09_9.obj_002_247,105,342,232,322,1
nat_VG09_9.obj_002_248,107,341,225,317,1
nat_VG09_9.obj_002_249,110,341,219,316,1
nat_VG09_9.obj_002_250,114,341,212,317,1
nat_VG09_9.obj_002_251,117,340,203,318,1
nat_VG09_9.obj_002_252,120,340,196,319,1
nat_VG09_9.obj_002_253,123,339,191,321,1
nat_VG09_9.obj_002_254,124,339,187,331,1
nat_VG09_9.obj_002_255,126,339,182,340,1
nat_VG09_9.obj_002_256,127,338,178,349,1
nat_VG09_9.obj_002_257,128,338,177,358,1
nat_VG09_9.obj_002_258,128,338,175,367,1
nat_VG09_9.obj_002_259,129,337,173,377,1
nat_VG09_9.obj_002_260,104,347,154,386,1
nat_VG09_9.obj_002_261,107,347,159,376,1
nat_VG09_9.obj_002_262,108,347,166,364,1
nat_VG09_9.obj_002_263,110,347,174,351,1
nat_VG09_9.obj_002_264,112,347,180,337,1
nat_VG09_9.obj_002_265,115,346,188,325,1
nat_VG09_9.obj_002_266,118,346,196,312,1
nat_VG09_9.obj_002_267,121,346,195,304,1
nat_VG09_9.obj_002_268,124,345,194,305,1
nat_VG09_9.obj_002_269,128,345,194,306,1
nat_VG09_9.obj_002_270,132,345,193,307,1
nat_VG09_9.obj_002_271,135,344,191,308,1
nat_VG09_9.obj_002_272,139,344,190,311,1
nat_VG09_9.obj_002_273,142,343,191,315,1
nat_VG09_9.obj_002_274,146,343,191,326,1
nat_VG09_9.obj_002_275,149,342,191,338,1
nat_VG09_9.obj_002_276,152,342,191,350,1
nat_VG09_9.obj_002_277,155,342,186,361,1
nat_VG09_9.obj_002_278,158,342,184,372,1
nat_VG09_9.obj_002_279,160,342,182,383,1
nat_VG09_9.obj_002_280,120,357,119,361,1
nat_VG09_9.obj_002_281,123,356,125,350,1
nat_VG09_9.obj_002_282,126,356,133,338,1
nat_VG09_9.obj_002_283,129,356,141,325,1
nat_VG09_9.obj_002_284,133,356,151,314,1
nat_VG09_9.obj_002_285,137,355,161,302,1
nat_VG09_9.obj_002_286,141,355,163,293,1
nat_VG09_9.obj_002_287,145,355,166,295,1
nat_VG09_9.obj_002_288,148,354,170,297,1
nat_VG09_9.obj_002_289,152,354,175,299,1
nat_VG09_9.obj_002_290,156,354,178,301,1
nat_VG09_9.obj_002_291,159,353,181,304,1
nat_VG09_9.obj_002_292,162,353,185,308,1
nat_VG09_9.obj_002_293,165,353,191,314,1
nat_VG09_9.obj_002_294,168,352,195,325,1
nat_VG09_9.obj_002_295,171,352,199,337,1
nat_VG09_9.obj_002_296,173,352,198,350,1
nat_VG09_9.obj_002_297,175,352,196,362,1
nat_VG09_9.obj_002_298,177,352,195,375,1
nat_VG09_9.obj_002_299,179,351,196,387,1
nat_VG09_9.obj_002_300,151,368,96,341,1
nat_VG09_9.obj_002_301,155,367,103,331,1
nat_VG09_9.obj_002_302,159,365,113,321,1
nat_VG09_9.obj_002_303,161,364,123,310,1
nat_VG09_9.obj_002_304,162,363,130,301,1
nat_VG09_9.obj_002_305,164,362,134,296,1
nat_VG09_9.obj_002_306,165,362,139,291,1
nat_VG09_9.obj_002_307,167,361,145,288,1
nat_VG09_9.obj_002_308,169,360,153,291,1
nat_VG09_9.obj_002_309,171,360,160,293,1
nat_VG09_9.obj_002_310,173,360,166,296,1
nat_VG09_9.obj_002_311,175,359,174,301,1
nat_VG09_9.obj_002_312,177,359,182,305,1
nat_VG09_9.obj_002_313,179,359,191,315,1
nat_VG09_9.obj_002_314,181,359,199,326,1
nat_VG09_9.obj_002_315,183,359,205,337,1
nat_VG09_9.obj_002_316,185,360,206,350,1
nat_VG09_9.obj_002_317,186,360,207,363,1
nat_VG09_9.obj_002_318,188,361,208,375,1
nat_VG09_9.obj_002_319,189,361,211,388,1
nat_VG09_9.obj_002_320,169,395,91,336,1
nat_VG09_9.obj_002_321,170,394,96,331,1
nat_VG09_9.obj_002_322,172,392,103,325,1
nat_VG09_9.obj_002_323,174,391,106,318,1
nat_VG09_9.obj_002_324,176,390,110,312,1
nat_VG09_9.obj_002_325,178,389,116,305,1
nat_VG09_9.obj_002_326,180,388,124,298,1
nat_VG09_9.obj_002_327,182,388,133,295,1
nat_VG09_9.obj_002_328,185,387,141,292,1
nat_VG09_9.obj_002_329,187,387,149,290,1
nat_VG09_9.obj_002_330,189,386,158,295,1
nat_VG09_9.obj_002_331,191,386,168,300,1
nat_VG09_9.obj_002_332,193,386,179,308,1
nat_VG09_9.obj_002_333,195,386,191,318,1
nat_VG09_9.obj_002_334,197,386,201,328,1
nat_VG09_9.obj_002_335,198,387,210,337,1
nat_VG09_9.obj_002_336,200,387,214,350,1
nat_VG09_9.obj_002_337,201,388,217,362,1
nat_VG09_9.obj_002_338,202,389,218,374,1
nat_VG09_9.obj_002_339,203,389,221,385,1
nat_VG09_9.obj_002_340,191,417,95,344,1
nat_VG09_9.obj_002_341,194,416,93,338,1
nat_VG09_9.obj_002_342,196,414,94,332,1
nat_VG09_9.obj_002_343,198,413,98,326,1
nat_VG09_9.obj_002_344,200,412,103,321,1
nat_VG09_9.obj_002_345,202,411,110,317,1
nat_VG09_9.obj_002_346,203,410,117,313,1
nat_VG09_9.obj_002_347,205,409,124,309,1
nat_VG09_9.obj_002_348,207,409,133,304,1
nat_VG09_9.obj_002_349,209,408,143,300,1
nat_VG09_9.obj_002_350,210,408,154,301,1
nat_VG09_9.obj_002_351,212,408,166,308,1
nat_VG09_9.obj_002_352,214,408,178,316,1
nat_VG09_9.obj_002_353,215,409,191,324,1
nat_VG09_9.obj_002_354,217,409,203,332,1
nat_VG09_9.obj_002_355,218,410,214,340,1
nat_VG09_9.obj_002_356,220,411,221,350,1
nat_VG09_9.obj_002_357,221,412,223,360,1
nat_VG09_9.obj_002_358,222,414,227,370,1
nat_VG09_9.obj_002_359,223,415,229,379,1
nat_VG09_9.obj_002_360,213,445,104,347,1
nat_VG09_9.obj_002_361,214,442,101,345,1
nat_VG09_9.obj_002_362,215,439,99,342,1
nat_VG09_9.obj_002_363,217,436,100,338,1
nat_VG09_9.obj_002_364,218,433,103,334,1
nat_VG09_9.obj_002_365,220,431,108,330,1
nat_VG09_9.obj_002_366,222,431,114,325,1
nat_VG09_9.obj_002_367,223,431,122,320,1
nat_VG09_9.obj_002_368,225,431,132,316,1
nat_VG09_9.obj_002_369,227,432,142,318,1
nat_VG09_9.obj_002_370,228,432,153,320,1
nat_VG09_9.obj_002_371,230,433,165,323,1
nat_VG09_9.obj_002_372,231,433,178,328,1
nat_VG09_9.obj_002_373,232,434,191,333,1
nat_VG09_9.obj_002_374,234,435,204,338,1
nat_VG09_9.obj_002_375,235,436,215,342,1
nat_VG09_9.obj_002_376,236,437,225,349,1
nat_VG09_9.obj_002_377,236,439,229,357,1
nat_VG09_9.obj_002_378,237,440,230,364,1
nat_VG09_9.obj_002_379,238,442,232,370,1
nat_VG09_9.obj_002_380,238,480,120,357,1
nat_VG09_9.obj_002_381,239,476,114,355,1
nat_VG09_9.obj_002_382,241,472,111,352,1
nat_VG09_9.obj_002_383,242,469,110,348,1
nat_VG09_9.obj_002_384,243,466,112,344,1
nat_VG09_9.obj_002_385,245,464,115,343,1
nat_VG09_9.obj_002_386,246,463,121,344,1
nat_VG09_9.obj_002_387,247,461,128,344,1
nat_VG09_9.obj_002_388,248,460,136,343,1
nat_VG09_9.obj_002_389,249,459,145,343,1
nat_VG09_9.obj_002_390,250,458,156,342,1
nat_VG09_9.obj_002_391,251,458,167,343,1
nat_VG09_9.obj_002_392,252,457,178,344,1
nat_VG09_9.obj_002_393,253,457,191,345,1
nat_VG09_9.obj_002_394,253,457,203,346,1
nat_VG09_9.obj_002_395,254,457,215,346,1
nat_VG09_9.obj_002_396,255,458,228,349,1
nat_VG09_9.obj_002_397,255,458,231,352,1
nat_VG09_9.obj_002_398,256,459,234,355,1
nat_VG09_9.obj_002_399,256,460,236,357,1
